Site_ID,Reference_ID,Location,Country,State,Latitude,Longitude,Uncertainty_radius,Elevation_low,Elevation_high,Habitat_description,Habitat_code,Abundance_data_present,Abundance_data_format,Spatial_extent,Study_duration,Time_series,N_years,Notes
1016,Waldien2005,McDonald-Dunn Research Forest; Oregon Coast Range,USA,OR,44.637175,-123.310781,7,150,500,silvicultural treatment; clearcut,MF,all,raw,37800,17,0,2,NULL
1017,Waldien2005,McDonald-Dunn Research Forest; Oregon Coast Range,USA,OR,44.637175,-123.310781,7,150,500,group selection; no added wood,MF,all,raw,18900,41,0,4,NULL
1018,Waldien2005,McDonald-Dunn Research Forest; Oregon Coast Range,USA,OR,44.637175,-123.310781,7,150,500,group selection; add wood,MF,all,raw,18900,41,0,4,NULL
1019,Waldien2005,McDonald-Dunn Research Forest; Oregon Coast Range,USA,OR,44.637175,-123.310781,7,150,500,clear cut; no added wood,MF,all,raw,18900,41,0,4,NULL
1020,Waldien2005,McDonald-Dunn Research Forest; Oregon Coast Range,USA,OR,44.637175,-123.310781,7,150,500,clear cut; add wood,MF,all,raw,18900,41,0,4,NULL
1021,Kepner1978,Mixed Riparian Shrub Black Canyon/Skull Valley planning unit,USA,AZ ,34.252058,-112.522733,80,350,1800,Upper & Lower Sonoran Desert,DS,all,raw,16260,5,0,1,NULL
1022,Kepner1978,Arizona Upland Black Canyon/Skull Valley planning unit,USA,AZ,34.252058,-112.522733,80,350,1800,Upper & Lower Sonoran Desert,D,all,raw,91056,5,0,1,NULL
1023,Kepner1978,Lower Colorado Black Canyon/Skull Valley planning unit,USA,AZ ,34.252058,-112.522733,80,350,1800,Upper & Lower Sonoran Desert,D,all,raw,9756,5,0,1,NULL
1024,Kepner1978,Desert Grassland Black Canyon/Skull Valley planning unit,USA,AZ,34.252058,-112.522733,80,350,1800,Upper & Lower Sonoran Desert,DG,all,raw,26016,5,0,1,NULL
1025,Kepner1978,Cottonwood/Willow Black Canyon/Skull Valley planning unit,USA,AZ ,34.252058,-112.522733,80,350,1800,Upper & Lower Sonoran Desert,D,all,raw,9756,5,0,1,NULL
1026,Kepner1978,Chaparral Black Canyon/Skull Valley planning unit,USA,AZ,34.252058,-112.522733,80,350,1800,Upper & Lower Sonoran Desert,DS,all,raw,16260,5,0,1,NULL
1027,Kepner1978,Mixed Broadleaf Black Canyon/Skull Valley planning unit,USA,AZ ,34.252058,-112.522733,80,350,1800,Upper & Lower Sonoran Desert,D,all,raw,9756,5,0,1,NULL
1028,Kepner1978,Mesquite Acacia Bosque Black Canyon/Skull Valley planning unit,USA,AZ,34.252058,-112.522733,80,350,1800,Upper & Lower Sonoran Desert,DS,all,raw,13008,5,0,1,NULL
1029,Scott1988,Coulter Mesa; White River National Forest; 20 miles north of Rifle,USA,CO,39.737758,-107.731454,5,2700,2700,100% aspen woodland,DF,all,raw,37156,13,0,2,NULL
1030,Scott1988,Coulter Mesa; White River National Forest; 20 miles north of Rifle,USA,CO,39.737758,-107.731454,5,2700,2700,75% Aspen- 25% conifer woodland and grassland,MF,all,raw,37156,13,0,2,NULL
1031,Scott1988,Coulter Mesa; White River National Forest; 20 miles north of Rifle,USA,CO,39.737758,-107.731454,5,2700,2700,50% Aspen-50% conifer woodland and grassland,MF,all,raw,37156,13,0,2,NULL
1032,Scott1988,Coulter Mesa; White River National Forest; 20 miles north of Rifle,USA,CO,39.737758,-107.731454,5,2700,2700,25% Aspen-75% conifer woodland and grassland,MF,all,raw,37156,13,0,2,NULL
1033,Scott1988,Coulter Mesa; White River National Forest; 20 miles north of Rifle,USA,CO,39.737758,-107.731454,5,2700,2700,100% conifer woodland,CF,all,raw,37156,13,0,2,NULL
1034,Medin1989a,Unlogged; Forested watershed SC-3; Silver Creek drainage; a tributary of the Middle Fork of the Payette River; Valley County,USA,ID,44.837728,-115.787619,60,1400,2000,conifer forested watersheds,CF,some,estimate,22763,48,1,5,Estimate = annual average
1035,Medin1989a,Logged watershed SC-7; pre-logging; Silver Creek drainage; a tributary of the Middle Fork of the Payette River in Valley County,USA,ID,44.837728,-115.787619,60,1400,2000,conifer forested watersheds,CF,some,estimate,22763,14,0,2,Estimate = annual average
1036,Szaro1987,Queen River; Whitlow Ranch Dam; Pinal County,USA,AZ,33.28672,-111.278588,5,650,750,Interior riparian (gooding-willow salt cedar) desert patch,DF,all,raw,1000,2,0,1,NULL
1037,Szaro1987,Queen River; Whitlow Ranch Dam; Pinal County,USA,AZ,33.28672,-111.278588,5,650,750,Edge riparian (gooding-willow salt cedar) desert patch,DF,all,raw,1000,2,0,1,NULL
1038,Szaro1987,Queen River; Whitlow Ranch Dam; Pinal County,USA,AZ,33.28672,-111.278588,5,650,750,Sonoran Desert wash ,DS,all,raw,1000,2,0,1,NULL
1039,Szaro1987,Queen River; Whitlow Ranch Dam; Pinal County,USA,AZ,33.28672,-111.278588,5,650,750,Upland Sonoran Desert,DS,all,raw,1000,2,0,1,NULL
1040,Jorgensen1965,1CC; Grayia-Lycium; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1041,Jorgensen1965,2CB; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1042,Jorgensen1965,2CC; Grayia-Lycium; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1043,Jorgensen1965,2CE; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1044,Jorgensen1965,2CF; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1045,Jorgensen1965,3CD; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1046,Jorgensen1965,3CE; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1047,Jorgensen1965,3CF; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1048,Jorgensen1965,3CG; Grayia-Lycium; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1049,Jorgensen1965,3CH; Mixed; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1050,Jorgensen1965,3CI; Atriplex-Kochia; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1051,Jorgensen1965,3CK; Salsola; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1052,Jorgensen1965,3CL; Salsola; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1053,Jorgensen1965,3CM; Salsola; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1054,Jorgensen1965,4CJ; Coleogyne;  Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1055,Jorgensen1965,4CK; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1056,Jorgensen1965,5CU; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1057,Jorgensen1965,5 Curlew Valley; Box Elder County; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1058,Jorgensen1965,5CW; Mixed;  Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1059,Jorgensen1965,5CX; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1060,Jorgensen1965,5CY; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1061,Jorgensen1965,5CZ; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1062,Jorgensen1965,5HA; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1063,Jorgensen1965,5HB; Mixed;  Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1064,Jorgensen1965,5HC; Mixed; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1065,Jorgensen1965,5HD; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1066,Jorgensen1965,5HE; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1067,Jorgensen1965,5HF; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1068,Jorgensen1965,5HG; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1069,Jorgensen1965,5HH; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1070,Jorgensen1965,5HI; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1071,Jorgensen1965,5HJ; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1072,Jorgensen1965,5HK; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1073,Jorgensen1965,5HL; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1074,Jorgensen1965,5HM; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1075,Jorgensen1965,6CR; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1076,Jorgensen1965,6CS; Grayia-Lycium; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1077,Jorgensen1965,6CT; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1078,Jorgensen1965,6CU; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1079,Jorgensen1965,6 Curlew Valley; Box Elder County; Grayia-Lycium; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1080,Jorgensen1965,6CW; Grayia-Lycium; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1081,Jorgensen1965,6CX; Grayia-Lycium; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1082,Jorgensen1965,6CY; Grayia-Lycium; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1083,Jorgensen1965,6CZ; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert; pinon juniper; shrubby,DS,some,estimate,4006,1,0,1,NULL
1084,Jorgensen1965,6FA; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1085,Jorgensen1965,6FB; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1086,Jorgensen1965,6FC; Mixed; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1087,Jorgensen1965,6FD; Atriplex-Kochia; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1088,Jorgensen1965,6FE; Atriplex-Kochia; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1089,Jorgensen1965,6FF; Mixed; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1090,Jorgensen1965,6FG; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1091,Jorgensen1965,6FH; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1092,Jorgensen1965,6FI; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1093,Jorgensen1965,7CC; Salsola; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1094,Jorgensen1965,7CD; Salsola; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1095,Jorgensen1965,7CE; Salsola; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1096,Jorgensen1965,8CC; Salsola; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1097,Jorgensen1965,9CB; Salsola; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1098,Jorgensen1965,9CC; Salsola; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1099,Jorgensen1965,9CD; Mixed; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1100,Jorgensen1965,9CE; Salsola; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1101,Jorgensen1965,9CF; Salsola; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1102,Jorgensen1965,9CG; Salsola; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1103,Jorgensen1965,10CK; Salsola; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1104,Jorgensen1965,10CL; Salsola; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1105,Jorgensen1965,10CM; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1106,Jorgensen1965,10CN; Grayia-Lycium; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1107,Jorgensen1965,12CH; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1108,Jorgensen1965,400CA; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1109,Jorgensen1965,400CB; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1110,Jorgensen1965,400CC; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1111,Jorgensen1965,400CD; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1112,Jorgensen1965,400CE; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1113,Jorgensen1965,400CG; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1114,Jorgensen1965,400CH; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1115,Jorgensen1965,400CI; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1116,Jorgensen1965,400CJ; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1117,Jorgensen1965,401CA; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1118,Jorgensen1965,401CB; Mixed; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1119,Jorgensen1965,401CC; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1120,Jorgensen1965,401CD; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1121,Jorgensen1965,401CE; Mixed; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1122,Jorgensen1965,401CF; Mixed; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1123,Jorgensen1965,401CG; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1124,Jorgensen1965,401CH; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1125,Jorgensen1965,BCA; Grayia-Lycium; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1126,Jorgensen1965,BCB; Grayia-Lycium; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1127,Jorgensen1965,BCC; Grayia-Lycium;  Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1128,Jorgensen1965,BCD; Grayia-Lycium; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1129,Jorgensen1965,BCE; Grayia-Lycium; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1130,Jorgensen1965,BCF; Grayia-Lycium; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1131,Jorgensen1965,CCB; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1132,Jorgensen1965,CCC; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1133,Jorgensen1965,ECD; pinon-Juniper; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1134,Jorgensen1965,ECE; pinon-Juniper; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1135,Jorgensen1965,ECF; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1136,Jorgensen1965,FCB; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1137,Jorgensen1965,FCC; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1138,Jorgensen1965,FCF; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1139,Jorgensen1965,FCG; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1140,Jorgensen1965,FCH; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1141,Jorgensen1965,FCI; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1142,Jorgensen1965,FCJ; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1143,Jorgensen1965,JCD; Mixed; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1144,Jorgensen1965,JCE; Mixed;  Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1145,Jorgensen1965,NCA; Larrea-Franseria; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,some,estimate,4006,1,0,1,NULL
1146,Jorgensen1965,TCC; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1147,Jorgensen1965,TCD; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1148,Jorgensen1965,TCE; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1149,Jorgensen1965,TCF; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
1150,Jorgensen1965,TCG; Coleogyne; Nevada radioactive weapons test site,USA,NV,37.117436,-116.049992,106,819,2340,desert scrub,DS,all,estimate,4006,1,0,1,NULL
